stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,4.09,4.09,0
72hpf,0,0,0,0,0,0,0,1.07,3.21
21Day,0,0,0,0,0,0,2.68,0,1.34
3Month,0.32,0,0.64,0.64,0.32,0.64,0,0,0
22Month,0,0.55,3.28,0,0,0,0,0,0
