stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,4.09,0,0,0,4.09,12.26,0,0,0,232.93,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,1.28,0.64,0.96,3.52,0,0.64,0.32,1.28,0.64,0.32,0.32,0.64,0.32,0,0.32,0,0.96,63.35,0.32,0.96,10.24
22Month,0,0,0,0.55,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,13.12,0.55,0,0
