stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,5.35,0,0,0,43.86,1.07,0,0,1.07,0,0
21Day,0,0,2.68,0,0,0,0,0,0,1.34,0,1.34,0,127.16,0,2.68,0,4.02,2.68,0
3Month,0,0,0.96,0.32,1.92,0.32,0,0.32,0,0,0.32,0.64,0,0.32,0,0,0,0,0,0.32
22Month,0,0.55,1.09,0,6.56,0.55,0.55,0,0.55,0.55,0,0,0.55,0.55,0,0,0.55,0,0,0
