stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,69.47,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,33.16,5.35,0,3.21,1.07,0,0,0,0,0,0,0,1.07,0,17.12,0,0,4.28,75.96,6.42,2.14,0,17.12,0,0,3.21,0,0,0,0
21Day,44.17,0,0,4.02,2.68,0,1.34,0,0,0,0,0,1.34,2.68,38.82,0,0,8.03,42.83,4.02,5.35,1.34,8.03,4.02,0,1.34,1.34,1.34,0,0
3Month,0,0.96,0.32,1.92,0,0.64,0,0.32,4.8,0.32,0.32,0.64,0.64,0.64,7.68,1.6,0,2.56,0.96,0,9.6,0,0,0.96,2.88,0,0,0,1.6,0.64
22Month,0.55,0.55,0,0,0,0.55,0.55,0.55,15.31,0.55,0,1.64,0.55,2.19,7.65,0,1.09,1.09,0,0,6.56,0.55,0,0.55,0.55,0.55,0,0,0.55,0.55
