stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,9.63,0,0,6.42,5.35,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,6.69,4.02,0
22Month,0.55,1.09,2.73,8.75,0.55,2.73,0.55,0.55,0.55,1.09,1.09,2.73,0,0.55
