stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Primordial_germ_cell
24hpf,0,0,0,4.09,0,0,0,0,0
3Month,0,0.32,0.32,0,0.96,0,0.32,0,0
22Month,0.55,0,0,0,4.92,0.55,0,1.64,0.55
