stage,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34
3Month,0,0,0.32,0,0.32,0,0.32,0,0
22Month,0.55,2.73,0,1.09,0,0,0,0.55,0
