stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,8.17,36.78,0,0,0,0,0,0,8.17,102.16,0,0,0,8.17,0,0,0,0,0
72hpf,4.28,0,0,7.49,1.07,13.91,0,1.07,0,0,0,0,0,0,0,0,3.21,35.3,2.14,4.28,0,1.07,2.14,0,23.54,13.91,0,0,0,10.7,0,0,1.07,0,0
21Day,1.34,1.34,0,12.05,0,2.68,0,1.34,0,1.34,0,0,21.42,0,0,2.68,0,5.35,2.68,13.39,0,1.34,2.68,0,8.03,6.69,1.34,1.34,0,1.34,0,0,2.68,0,1.34
3Month,0.32,0.96,1.6,18.56,0,0,0,0,22.4,1.6,0,0,71.67,2.88,0.32,25.6,0,2.24,4.48,5.12,1.28,0.32,1.92,0.32,1.6,0,3.52,0.32,0,0.32,2.88,24.64,0.32,13.76,3.52
22Month,0.55,1.64,1.64,10.93,0.55,0,0.55,0,15.31,2.73,2.19,0,149.24,1.64,0,39.91,0,2.73,7.11,6.01,0,2.73,3.28,0,1.64,0,1.09,0.55,0.55,0.55,0,7.65,0,0,0.55
