stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,34.23,0,0,0,1.07,1.07,1.07
21Day,1.34,0,1.34,0,0,0,2.68,1.34,2.68,20.08,1.34,1.34,1.34,0,6.69,16.06
3Month,0,0,0,0,1.6,0.32,0,0,0,0,0,0,0,0,0,0
22Month,0,0.55,0,0.55,4.92,0,0,0,0,1.09,0,0,0,0,0,0
