stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,8.17,4.09,0,0,8.17,0,4.09,77.64,0,0,0,0,0
72hpf,1.07,0,0,0,0,1.07,0,2.14,5.35,1.07,0,0,1.07,0
21Day,1.34,0,0,0,1.34,2.68,0,0,5.35,0,0,0,0,0
3Month,0,0.64,0,0,0,0,0.32,0,0,0,0,0.32,0.32,0.32
22Month,0,0,0,1.09,0,0,0,0,0,0,3.83,3.83,0,0
