stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,0,3.21,0,57.77,5.35,0,0,1.07,1.07,0,0,5.35,0,0,0
21Day,0,1.34,0,0,0,0,1.34,0,0,0,2.68,0,42.83,5.35,0,1.34,0,2.68,0,0,2.68,2.68,0,1.34
3Month,0.64,0,0.64,0.32,2.24,0,0,0.96,0,0.32,0.32,0,1.28,0,0.64,0,0,0,0.32,0.32,0,0,0.32,0
22Month,0.55,0,0,1.09,10.93,0.55,0,1.64,0,1.64,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
