stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,12.26,143.02,0,0,8.17,0,0,0,0,0
72hpf,1.07,0,3.21,2.14,2.14,0,0,0,0,0,0,0,0,0,0,2.14,3.21,0,5.35,0,0,0,0,11.77,7.49,1.07,0,5.35,0,0,0,0,0
21Day,2.68,0,6.69,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,2.68,0,5.35,2.68,1.34,0,1.34,0,0,0,0,0
3Month,0.32,0,10.56,0,0,0,0,0,3.52,0.32,0,8.64,1.28,0.32,5.44,1.28,0,1.28,0.96,0.64,0,0.96,0.96,4.48,0.32,1.92,0,0,1.28,29.44,0.32,19.84,0.96
22Month,0,1.09,9.29,0,0,0.55,0,0.55,2.19,1.64,1.64,15.31,0,0.55,8.2,0.55,0,2.19,2.73,0,0.55,0,0.55,2.73,0,2.19,6.01,0.55,0,18.59,0,0,0.55
