stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
3Month,0.32,0.96,0,0,3.84,0.32,0,0.32,0,0.96,0,0.32,0.32,0.32,0,0.32
22Month,0.55,0.55,1.64,0.55,26.79,0,0.55,3.28,0.55,0.55,0.55,0,0,1.09,1.09,1.09
