stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,2.14,0,0,2.14,0,0,0
21Day,0,0,14.72,0,1.34,0,0,0,0,0,0,0,1.34,0,0,13.39,5.35,0,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,0,0,0,0
3Month,0.64,0.32,42.23,0,0,0.64,3.84,1.28,0.32,0,2.24,3.2,1.92,2.56,3.2,2.88,10.88,0.96,0.64,0.32,0.32,0.64,0.32,0,0.64,0,0,0,0,6.4,0,0.32,0.96,5.12
22Month,4.37,0.55,17.49,0.55,0,0,6.01,1.09,0.55,0,15.31,3.28,4.37,22.96,0.55,2.73,6.01,3.83,0,0,1.09,0,0.55,0,0,0,0.55,0,0,14.76,0,1.09,0,6.01
