stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,3.21,0,1.07,0,0,0,3.21,0,0,0,136.93,4.28,0,0,0,0,0,0,0,0,0,0,0
21Day,6.69,1.34,5.35,0,2.68,0,2.68,4.02,0,8.03,1.34,261.01,5.35,0,1.34,1.34,4.02,0,2.68,1.34,1.34,1.34,0,4.02
3Month,0,3.52,0,0,0,1.28,2.88,0.32,0.32,0.64,0,2.56,0,0.64,0,0,0,2.88,0,0,0,0,0.96,3.2
22Month,0.55,2.73,0,3.28,0.55,1.09,1.09,0,0,0.55,0,2.73,0,0,0,0,0.55,2.73,0,0,0,0,0,0
