stage,Granulocyte,Hepatocyte,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,4.09,0
3Month,0.32,0,0.32,0,0.32
22Month,0.55,1.09,0,0,0
