stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,4.09,0,0,0,4.09,0,0,0,36.78,4.09,0,0
72hpf,0,3.21,1.07,0,0,0,1.07,0,11.77,3.21,1.07,0,0
21Day,1.34,24.09,0,1.34,1.34,0,9.37,1.34,1.34,0,0,1.34,0
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0,0.55
