stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Keratinocyte,Macrophage,Neural_cell,Pancreatic_cell
72hpf,1.07,0,0,0,0,1.07,0
21Day,0,2.68,0,4.02,1.34,0,0
3Month,0,0.64,0,0,0.32,0,0
22Month,0,0,0.55,0,0,0,0.55
