stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Radial_glia,T_cell
21Day,0,1.34,0,0,0,2.68,0,1.34,0,1.34,0,0
3Month,0,0,0,0,0,0.32,0,0,0,0,0,0
22Month,1.09,0,0.55,0.55,2.19,2.73,1.64,18.59,0.55,0,10.39,3.83
