stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Neural_cell
72hpf,0,0,0,0,1.07
21Day,1.34,0,0,0,1.34
3Month,0,0,0.32,0.32,0
22Month,0,0.55,2.73,0,0
