stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,73.56,0,0,0,4.09,12.26,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,10.7,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,2.14,2.14,2.14,155.12,0,0,20.33,25.67,12.84,0,5.35,0,311.31,0,0,0,1.07,0,0,0,0
21Day,10.71,0,1.34,12.05,0,4.02,0,1.34,0,0,0,0,0,0,1.34,0,1.34,236.92,0,0,21.42,14.72,5.35,0,2.68,0,160.62,1.34,1.34,2.68,1.34,1.34,1.34,0,1.34
3Month,2.56,0.64,0.96,5.44,0.32,0,0.64,0,0.64,5.44,0.96,10.24,2.24,3.2,0.32,2.24,3.52,131.18,43.19,0,8.64,1.92,0,0.64,0,0,12.16,1.6,11.52,0,0,0,1.92,11.52,2.24
22Month,1.64,0.55,0.55,3.83,0,0,1.64,0,1.09,4.37,2.73,72.71,3.28,6.01,0.55,0.55,9.29,157.44,8.75,1.09,4.92,0.55,0,0.55,0.55,0.55,11.48,2.19,4.37,1.09,0.55,0,1.09,0,2.19
