stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,0,0,0,0,4.28,0,0,0
21Day,0,0,0,0,2.68,0,1.34,0,0,0
3Month,0.32,0.32,0.32,0.32,1.28,0.32,0,0.96,0.32,0.32
