stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,4.28,0,2.14,0,0,0,0,0,0,0,0,0,1.07,3.21,0,4.28,0,0,173.31,17.12,0,1.07,6.42,0,0,0,0,0
21Day,1.34,0,2.68,2.68,0,0,0,0,0,0,2.68,0,0,1.34,0,10.71,0,0,69.6,4.02,1.34,0,0,1.34,0,2.68,0,1.34
3Month,0,0.32,2.24,0,0,0.32,0.32,0,6.08,0.32,0,1.6,0,0.32,0.64,6.4,0.32,0,0.96,0,0.32,0,0,0,0.64,0,2.56,0.32
22Month,0,0,2.73,0,0.55,0.55,1.64,0.55,51.39,1.09,0,1.09,0,1.09,1.64,8.75,0,1.09,1.09,0,0,1.64,0,0,1.64,0.55,0,0.55
