stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,5.35,1.07,0,1.07,0,0,0,0,0,1.07,0,0,19.26,0,0,0,3.21,1.07,0,1.07,0,0,0,0,1.07
21Day,1.34,0,24.09,0,0,1.34,0,0,0,0,0,12.05,0,0,14.72,2.68,8.03,0,0,0,0,0,0,0,0,0,1.34
3Month,0,0.64,14.4,0,0,0,0.32,1.6,0,2.24,0.32,1.28,1.92,0.96,5.44,2.56,0.96,0.96,0,0,0.32,0,0,1.92,0,0.32,31.36
22Month,0,0,2.19,0,0.55,0.55,0,1.09,0.55,7.11,0,2.73,2.19,0,0.55,3.28,1.64,0.55,0,0,0,0,0.55,1.09,0.55,0,15.31
