stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,12.26,0,0,0,0,0,0,4.09,0,0,0,0,12.26,4.09,4.09,16.35,0,0,0,0,0,24.52,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,26.74,1.07,0,1.07,0,3.21,0,0,0,1.07,0,0,0,5.35,0,0,0,0,0,0,0
21Day,0,0,21.42,13.39,0,0,0,0,0,0,0,4.02,0,0,20.08,1.34,0,0,4.02,0,0,1.34,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.96,1.92,35.19,58.55,0.32,5.12,0.32,24.32,6.4,0,0,803.39,8.96,0.32,629.66,5.76,5.76,7.04,6.72,1.6,0.96,3.84,3.84,0.64,0,0.96,0.32,0,0.96,14.72,3.2,0.64,0,4.16,5.76,6.72
22Month,0.55,4.92,35.53,37.72,0,4.37,0,33.89,7.11,8.2,0,1807.79,3.28,1.64,890.5,1.09,1.09,2.73,11.48,0,24.6,7.11,2.19,0,0,6.56,3.28,4.92,0,1.64,0,0.55,0.55,1.09,0,2.73
