stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,1.34,0,0,0,0,0,0,12.05,0,1.34,0,6.69,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,9.37
3Month,1.6,11.52,26.24,0.64,65.59,2.88,0,7.36,2.24,0,112.3,14.72,2.88,8,5.44,0.32,5.12,17.28,0.64,0,0.32,0.32,0,0.64,2.24,6.4,1.92,9.6
22Month,1.64,12.03,23.51,2.19,32.25,1.64,0.55,22.96,2.19,0,149.24,4.37,1.09,4.37,1.64,0,1.09,1.09,0,0,1.09,0,0.55,0,1.09,1.09,0,5.47
