stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,4.09,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,4.28,1.07,0,12.84,0,0,0,0
21Day,0,1.34,0,1.34,0,0,0,0,1.34,0,0,0,1.34,0,9.37,0,0,0,1.34,0,0,24.09,0,0,0,2.68
3Month,5.12,0.96,0.32,0,0.32,0.64,0.32,0,1.6,0,0,0.32,0.32,0.64,26.56,10.88,1.6,0.32,0.64,0,0.64,0.64,0.96,0.96,2.56,0.64
22Month,3.28,0,0,0,1.09,0,0,0.55,2.73,0.55,1.64,0,0,0,15.31,2.73,1.64,0,0,0,0,0.55,2.73,1.09,0.55,0
