stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,0,0,16.05,4.28,0,0,0,0,0,0,0,0,0,5.35,2.14,256.75,0,9.63,11.77,13.91,1.07,0,209.68,0,0,2.14,0,0,10.7,0,0,0
21Day,5.35,0,0,5.35,2.68,0,0,0,0,0,0,0,1.34,0,4.02,0,196.76,0,14.72,6.69,2.68,0,1.34,81.65,1.34,0,10.71,0,4.02,1.34,0,0,1.34
3Month,0.32,1.28,1.28,4.16,0,0.64,20.16,0.64,6.08,0.32,4.8,2.88,0,4.16,0.96,1.6,176.29,17.6,4.16,0,0.32,0,0.32,0.64,0.64,2.88,0.32,0,0,1.28,0.64,4.48,1.6
22Month,0,0.55,0,1.64,0,0.55,7.11,0,1.64,20.23,26.79,0.55,0.55,2.19,0,2.73,69.97,1.09,0.55,0.55,0.55,0,0,0,0.55,0.55,0,0.55,0,0,0,0,2.73
