stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,114.42,8.17,0,20.43,0,0,0,0,0,0,0,0,0,0,16.35,0,20.43,0,0,0,0,4.09,53.12,0,0,0,0,0,0,0,0,0,0,0
72hpf,42.79,8.56,0,5.35,2.14,0,1.07,0,0,0,0,1.07,0,0,26.74,0,35.3,0,2.14,0,0,25.67,14.98,3.21,0,0,7.49,0,0,4.28,0,0,0,0
21Day,49.53,8.03,1.34,22.76,1.34,1.34,2.68,0,0,0,0,6.69,0,0,10.71,0,69.6,0,0,4.02,0,18.74,33.46,8.03,0,0,12.05,2.68,0,4.02,0,0,0,0
3Month,2.56,26.88,0,6.4,0,0,0,0.32,0.32,5.12,0.64,0.64,0.96,0.64,1.6,0,4.16,1.6,0,1.6,0.96,0,0,8.32,0,0,0.32,0,0.64,0,2.24,0.64,1.6,1.28
22Month,1.64,31.71,0,4.37,0,0,0,1.64,6.01,486.52,3.28,2.19,4.37,0,1.09,3.83,5.47,1.64,8.75,1.64,0.55,1.64,1.09,24.05,1.09,0.55,0,1.09,1.09,0.55,1.09,0,0,2.19
