stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,8.17,4.09,4.09,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,3.21,1.07,4.28,0,0,1.07,1.07,0,0
21Day,0,0,2.68,0,0,6.69,1.34,0,0,0,0,0,0,0,0,0
3Month,0,0,0.64,1.6,0.32,0.32,0,0,0.32,0,0.32,0.64,0,0,0.32,0.32
22Month,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0
