stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,20.33,3.21,0,0,0,5.35,0,0,0,1.07,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,17.4,0,0,2.68,0,5.35,0,0,0,0,16.06,1.34,0,0,0,0,0,0
3Month,0,0.32,4.16,0.32,0,0.96,0.32,0.32,11.84,2.56,0,2.56,0.96,0.64,1.28,5.44,0.96,0,0.32,0.32,0,0,0.32,0.64,0,0,0.64,3.2,0.32,0,0,9.92,0.64
22Month,0.55,1.64,5.47,0,0.55,0,3.83,2.73,120.26,3.83,1.64,6.01,0,0.55,6.01,4.92,0.55,4.37,0,0,0,0,1.09,0,0.55,0,0,3.83,0,0,0.55,0,0
