stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Nephron_cell,Pancreatic_cell
21Day,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,1.28,0.32,0.32,0.32,0.64,12.16,1.28,0,0.96,0.32,0,0.32,0.32
22Month,0.55,0,0,0,0.55,20.23,0.55,1.64,0.55,1.09,0.55,0,0
