stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,3.21,0,0,3.21,0,0,0,0,0,0,0,0,0,0,5.35,0,2.14,0,0,0,0,3.21,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,2.68,2.68,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0
3Month,0.64,39.99,0.96,20.16,0,0.64,0.32,3.2,3.84,0,12.8,4.48,1.28,8.32,2.24,6.08,7.68,10.88,1.92,0,1.92,0.32,0.96,0.64,0,0.32,5.12,66.87,0.64,715.73,97.9,4.8
22Month,0,26.24,0.55,3.28,0,0,3.28,0.55,1.09,2.19,18.04,1.09,0,2.73,0,0.55,31.71,3.83,0,2.19,2.19,0,0,0,0.55,0,0.55,25.15,0,364.62,0.55,1.09
