stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,128.37,8.56,0,0,1.07,0,0,0,1.07,1.07,1.07,0,0
21Day,1.34,0,0,2.68,4.02,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,132.51,2.68,0,1.34,1.34,0,0,0,0,2.68,1.34,0,0
3Month,0.64,0.64,0.32,5.76,0,0.32,0,0.96,0,0,14.08,2.24,0.32,1.6,0.64,1.6,1.28,0.96,0.32,0,0.32,0.96,1.28,0,0.32,0,0.32,0.32,0.32,2.56,0,0,0,16.64,1.92
22Month,0,1.09,0.55,5.47,0,0,2.19,0.55,3.83,1.64,85.28,1.64,1.09,8.2,1.09,2.73,4.92,4.92,0,3.83,0,0,1.64,0,1.09,0.55,0,0,0,1.64,0,0,0,0,1.64
