stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,1.07,0,2.14,3.21,0,0,0,3.21,0,0,0,0,0,0
21Day,1.34,1.34,5.35,0,0,0,0,0,0,0,0,0,1.34,1.34,41.49,0,0,1.34,0,4.02,2.68,0,0,0,1.34,4.02,2.68,0,0,0,0
3Month,0.32,1.28,3.2,0,0.32,5.76,0,0,4.8,2.56,2.56,0.64,1.92,1.92,95.02,20.8,0,0.32,0.64,0,0,0.32,0.32,0,0.64,1.6,94.39,0.32,1.28,56.31,1.92
22Month,0,2.19,1.09,1.09,0.55,2.73,0.55,0,14.21,0,3.28,0,0,0,63.41,3.28,1.09,0,0,0.55,0,0,0,1.09,0.55,0,24.6,0,0.55,0,0.55
