stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte
72hpf,0,0,0,0,0,0,1.07
21Day,1.34,0,0,0,0,1.34,0
3Month,2.56,0.64,0.32,0.32,0.64,0,0
