stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,110.33,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,10.7,9.63,3.21,0,0,0,0,0,0,0,4.28,0,1.07,0,0,0,16.05,36.37,0,0,2.14,0,0,31.02,0,0,0,0
21Day,0,1.34,6.69,0,0,0,0,0,0,0,1.34,1.34,0,2.68,0,0,0,1.34,8.03,0,0,0,1.34,2.68,0,1.34,0,0,0
3Month,0,39.67,2.24,0,0.32,0.32,0.64,5.76,0.96,2.56,6.08,0.96,0.96,1.6,0,0.64,0.96,7.04,0,1.92,0.64,0,0,12.8,0,0.96,0.64,150.38,0.64
22Month,0,12.57,0,0,0,0.55,1.09,12.03,0,0.55,1.09,0,0.55,0.55,0.55,0.55,0.55,3.28,0,0.55,0.55,0,0,20.23,1.09,0,0,1.64,0
