stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,38.51,0,0,12.84,0,4.28,3.21,0,6.42,0,0,1.07,0,0,0,0
21Day,6.69,1.34,1.34,0,0,0,0,0,0,0,1.34,2.68,2.68,125.82,0,1.34,18.74,0,8.03,1.34,0,9.37,4.02,0,1.34,1.34,1.34,0,1.34
3Month,0,1.92,0,16.32,0.32,0.64,0,3.52,0.32,0.96,0.32,0.96,0.64,65.91,1.28,0,5.12,0.32,0,0,0,0,0.32,3.52,0.32,0,0.32,0.32,0.96
22Month,0,1.64,0,3.83,0,0.55,1.64,3.83,0,0,0,0,0.55,5.47,0,0,1.09,0,0,0,0.55,0,0,0.55,2.19,0,0,0,0.55
