stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,4.09,228.84,0,20.43,0,0,0,0,40.86,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,23.54,1.07,0,17.12,3.21,0,0,0,0,0,0,0,0,0,0,2.14,465.36,0,2.14,0,1.07,0,60.98,9.63,0,1.07,5.35,0,0,4.28,0,3.21,0,0,0
21Day,26.77,1.34,1.34,123.15,1.34,4.02,0,0,0,0,0,0,0,1.34,2.68,6.69,103.07,0,8.03,0,1.34,0,10.71,2.68,1.34,0,1.34,1.34,0,4.02,0,0,0,0,0
3Month,1.6,1.28,2.24,203.49,0.96,0,0.32,4.16,1.92,0,0,122.86,4.48,0.32,55.67,7.36,6.08,3.2,3.52,0,1.28,0.96,1.6,0,1.28,1.6,0,2.56,5.44,0.32,0,0,2.24,0.64,2.88
22Month,0.55,1.64,3.28,24.6,0.55,0,0.55,5.47,2.73,2.19,0,72.16,1.09,0,44.83,1.09,0,4.37,2.19,1.64,0,0,0.55,0,0.55,0,0,1.64,3.28,0.55,0.55,0,0,0,1.09
