stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell
72hpf,0,0,0,0,1.07,0,21.4,0,0,0,0,0
21Day,1.34,0,1.34,0,1.34,0,17.4,1.34,0,1.34,1.34,0
3Month,0.32,0.32,0.64,0.32,0,0.32,0,0,2.88,0,0,0
22Month,0,0.55,2.73,0.55,1.09,0,0,0,0.55,0,0,0.55
