stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,8.17,0,0,0,0,8.17,24.52,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,22.47,1.07,3.21,13.91,7.49,0,0,0,0,0,0,0,1.07,7.49,3.21,18.19,0,0,0,0,531.69,14.98,1.07,26.74,0,0,6.42,4.28,1.07,39.58,0,0,0
21Day,12.05,0,29.45,1.34,1.34,0,0,0,1.34,0,4.02,0,1.34,26.77,0,30.79,0,0,9.37,0,153.93,12.05,0,6.69,9.37,2.68,2.68,1.34,4.02,13.39,0,0,0
3Month,0,0.64,38.07,0.32,0,0,0.64,0.32,6.08,1.28,0,2.24,0.96,1.92,0.64,3.52,1.6,0,0,0.32,1.92,0.32,0,0,0.32,18.56,0.64,0.32,0,1.92,8,2.56,0.64
22Month,0,0,12.57,0,0,0.55,2.19,0.55,23.51,0,0.55,0.55,0,2.73,2.19,8.2,0,1.09,0.55,0,5.47,1.09,0.55,0,0,20.77,4.37,2.19,0,0.55,4.92,0,0
