stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,36.78,4.09,0,0,0,0,0,0,0,0,0,12.26,0,4.09,89.9,0,0,0,0,4.09,490.37,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,5.35,10.7,0,8.56,1.07,1.07,0,0,0,0,0,0,0,0,0,4.28,0,126.24,0,0,0,0,97.35,53.49,0,0,0,104.84,0,0,22.47,1.07,0,0,0
21Day,1.34,0,1.34,8.03,0,4.02,0,0,0,0,0,0,0,0,0,4.02,0,112.44,0,0,2.68,0,8.03,36.14,0,0,0,66.93,4.02,0,1.34,1.34,0,0,1.34
3Month,0.32,4.16,0.64,1.6,0,0,0,0.32,1.6,0,2.56,1.6,0,1.6,0.64,0.32,0,3.2,0.32,0,0,0.32,0.32,0,0.32,0,0,0.96,0.32,0.96,0,0,0.96,0.64,0.64
22Month,0,4.37,0,4.92,0,0,0.55,0.55,3.83,1.64,34.99,1.64,0.55,3.28,0.55,0,1.09,8.2,0,1.64,0,0,0.55,0,2.19,1.09,1.09,2.19,0,0.55,0,0,0.55,0,1.09
