stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,20.43,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,1.07,0,0,4.28,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,0,0
21Day,0,4.02,1.34,0,0,0,0,0,4.02,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0
3Month,0.64,5.12,0,0.32,5.76,0,42.87,1.28,27.52,0.32,0.64,1.92,0.64,0,4.8,0.64,0,0,0.96,0.64,2.56,0.32,0.32,0.96,1.28
22Month,1.64,0.55,0,0,2.73,1.09,43.73,0,27.88,0,0,0.55,2.19,0.55,1.64,0,0,0,0.55,0,0,0,0.55,0,0
