stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,3.21,0,0,0,0,0,0,0,0,23.54,1.07,0,0,0,5.35,4.28
21Day,0,0,2.68,2.68,0,0,0,0,1.34,0,1.34,0,5.35,0,0,1.34,0,4.02,6.69
3Month,0,0.32,0.32,0,0,0,3.52,0.32,0.96,0.32,0.64,0,0,0,0.32,0,1.28,0,0.32
22Month,0,0,2.19,0,0.55,0.55,21.32,2.19,0,0,1.09,0.55,0,0,0,0,2.73,2.73,0
