stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,7.49,0,0,0,0,2.14,0,0,0,0,0
21Day,1.34,2.68,1.34,0,0,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0
3Month,0.64,1.92,0,2.24,1.6,0.64,0,2.24,0,0.96,0,0.32,0.96,0,0.32,0.32,0,0,0
22Month,1.09,2.19,0,2.19,2.19,6.56,0.55,12.03,1.09,2.19,2.73,0,0.55,0,0,0,1.09,0.55,0.55
