stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,0,32.69,0,0,4.09
72hpf,2.14,1.07,0,0,0,0,0,0,1.07,0,2.14,0
21Day,4.02,0,4.02,0,2.68,0,1.34,4.02,1.34,1.34,1.34,0
3Month,0,0,0.32,0,0,0.32,0,0,0,0,0,0
22Month,0.55,0,0,0.55,0,0,0,0,0.55,0,0,0
