stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,8.17,4.09,12.26,0,0
72hpf,0,0,1.07,1.07,5.35,6.42,0,0
21Day,1.34,0,0,1.34,0,0,0,0
3Month,0.32,0.64,0,0,0,0,0.32,1.28
