stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,61.3,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0,0,0,0
21Day,0,0,0,2.68,0,1.34,1.34,0,0,5.35,0,0,0,0,0,0,0,0
3Month,0.32,2.56,0.96,25.28,2.56,30.72,0.32,1.92,0.32,14.4,0.64,0,0,0.64,0.96,0.32,0.32,0.32
22Month,0,0,0,71.07,6.01,12.03,1.09,2.19,0,19.13,1.09,0,0,0.55,0,0,0,0
