stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,220.67,8.17,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,8.56,0,25.67,11.77,0,0,0,0,0,0,0,0,2.14,1596.13,5.35,21.4,0,1.07,1.07,0,55.63,28.88,14.98,0,0,2.14,1.07,0,0,0,0
21Day,1.34,1.34,69.6,8.03,4.02,0,1.34,0,0,0,2.68,2.68,1.34,572.89,12.05,1.34,0,0,0,0,5.35,5.35,1.34,1.34,0,0,0,2.68,0,0,1.34
3Month,0,0,64.95,0,0,0.32,0.32,0,8,0.96,0,0.96,0.64,2.56,13.12,0.64,0.32,0,0.32,0.64,0,0,0,0.32,0.96,0,0,0,0,0.32,0.64
22Month,0.55,1.09,11.48,0,0,0.55,4.37,0.55,29.52,0.55,0,2.73,0.55,0.55,25.69,0.55,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0.55,0,0.55
