stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,12.26,8.17,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,97.35,2.14,0,0,1.07,0,0,0,0,0,0,0
21Day,5.35,4.02,8.03,17.4,0,0,1.34,0,2.68,0,1.34,9.37,2.68,26.77,0,0,1.34,511.32,8.03,0,0,10.71,5.35,0,1.34,2.68,9.37,0,5.35
3Month,0,0.32,2.24,0,0,0.64,2.88,0,0,0.64,0,0.32,0.64,2.56,0.32,0,0.64,0.32,0,0.64,0.64,0,0,0.64,0,0,0,0.32,0.96
22Month,0,0,0.55,0,0.55,0,12.03,1.09,1.09,6.01,0,0.55,0.55,1.64,0.55,0.55,0,0.55,0,0,5.47,0,0,0,0.55,0,0,0,0.55
