stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,4.28,1.07,1.07,0,0,0,0,0,0,0,0,1.07,0,3.21,0,0,63.12,4.28,5.35,0,0,0,0,0,2.14,7.49,0,0,0
21Day,4.02,0,0,0,0,0,0,0,0,0,0,0,5.35,0,1.34,2.68,0,0,0,32.12,1.34,4.02,0,0,0,1.34,1.34,0,5.35,0,0,0
3Month,0,0,0.32,1.6,0.96,0,0.32,0,0.96,0,30.72,0.32,1.92,0.32,0.64,1.92,2.24,0.32,0.32,0.32,0,8.96,0,0.96,0.64,5.12,0.64,0,0,0.64,1.92,0.64
22Month,0,0.55,0,0.55,0.55,0,0,0.55,2.73,1.64,3.83,0,3.83,0.55,0,2.19,1.09,0.55,0,0.55,0,5.47,0.55,0,0,7.11,1.09,0,0,0,0,1.64
