stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell
24hpf,0,4.09,0,0,16.35,0,0,0,0
72hpf,0,0,0,0,7.49,5.35,3.21,3.21,1.07
21Day,1.34,2.68,4.02,4.02,2.68,1.34,1.34,0,0
