stage,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oocyte,Osteoblast,Primordial_germ_cell
72hpf,0,0,0,0,0,2.14,0,3.21,0
21Day,1.34,0,0,0,1.34,1.34,0,10.71,0
22Month,0,0.55,9.84,1.09,0,0,3.83,0,1.09
