stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,8.17,0,0,0,0,0,8.17,4.09,0,32.69,0,0,0,8.17,98.07,0,0,12.26,0,0,0,4.09,0,0,0
72hpf,2.14,4.28,0,0,0,0,0,0,0,0,1.07,0,12.84,0,0,0,1.07,7.49,0,0,11.77,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,9.37,0,1.34,0,0,0,0,0,2.68,0,0,0,0,0,0,0
3Month,0,0.32,0.32,4.8,1.28,0.96,3.2,1.92,4.48,0.32,0.32,0.64,1.92,0.32,0,0,1.6,0.64,0.64,0.32,0,0.32,70.39,0.64,0,0.96,25.92,3.2
22Month,0,10.93,0,0,0,0,1.09,0,1.09,0,0.55,0,0.55,0,0,0.55,0,0,0,0,0,0.55,16.95,0,0,0,0,0
