stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,11.77,6.42,0,11.77,1.07,9.63,0,2.14,0,0,0,1.07,0,4.28,17.12,1.07,21.4,0,1.07,1.07,1979.11,134.79,1.07,0,14.98,0,0,6.42,5.35,1.07,0,0,0,0
21Day,5.35,2.68,0,10.71,1.34,17.4,0,2.68,0,0,1.34,34.8,0,1.34,5.35,2.68,8.03,0,0,4.02,404.24,42.83,0,1.34,4.02,5.35,1.34,4.02,1.34,4.02,2.68,0,0,1.34
3Month,0,0,0,2.88,0,0,0.32,0.32,0.32,4.16,0.32,10.56,0.96,0.32,1.28,2.88,0.64,0.32,0,0.32,5.76,0.32,0,0,0,0,9.6,0.64,0,0,0.64,0.32,4.16,0
22Month,0,1.09,0.55,1.64,0,0,0.55,1.64,0.55,9.84,0.55,9.29,2.19,0,1.09,1.64,1.09,0,0,0,8.2,0,0,0,0.55,0,19.68,2.73,0,0,0,0,0,0
