stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,16.35,0,4.09,4.09,0,0,0,4.09,0,0,4.09,0,4.09,0,4.09,61.3,0,0,0,0,24.52,269.7,0,0,4.09,0,0,0,0,0,0,0
72hpf,5.35,3.21,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,0,12.84,0,3.21,3.21,0,49.21,20.33,2.14,0,6.42,0,0,5.35,1.07,0,0,0
21Day,0,0,0,4.02,0,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0,1.34,28.11,1.34,0,0,0,28.11,13.39,0,0,9.37,2.68,8.03,5.35,0,0,0,2.68
3Month,0,0.32,0,6.4,0.32,0,0.32,0.64,0.64,0,0,15.68,1.92,0.32,3.2,0.96,2.24,2.24,2.56,0.32,0,0.32,0.64,0.96,0.32,0.64,0,0.64,1.28,90.23,0,0,0.32,269.4,1.6
22Month,0,0.55,1.09,3.28,0,0,0,1.09,1.64,1.64,0,23.51,0,0.55,2.19,0,0,2.19,1.09,0.55,2.19,0.55,0,0,0,0,50.29,0,0,85.28,0,0,0,0,1.09
