stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,0.64,0.32,3.52,0.32,0.32,0.32,0.64,0,2.88,1.6,0.64,1.28,0.32,0.32,0.96,2.56,0,0.32,0.64,0.32,0.32,0.32,0.64,1.6,0.32,0.96
22Month,0.55,2.73,0.55,1.09,0,0,0,1.64,0.55,7.11,0.55,0,0.55,0,0,1.09,1.64,0.55,0,0,0,0,1.64,0.55,0,0,0.55
