stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,16.35,24.52,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,1.07,0,0,0,0,0,0,0,1.07,0,0,16.05,0,2.14,0,34.23,9.63,1.07,0,2.14,0,0,2.14,1.07,0,0
21Day,8.03,0,2.68,1.34,2.68,0,0,0,0,0,0,0,1.34,10.71,0,2.68,1.34,26.77,6.69,1.34,0,0,1.34,0,0,0,0,0
3Month,0,0.32,2.24,0,0,0.32,0,6.72,0.64,0.64,0,0,0,1.92,0,0,1.92,0.64,0,17.92,0,0,0,0.32,0,0,0.64,0.32
22Month,1.09,0.55,3.28,0,0,0.55,3.28,44.28,0,2.73,0,0.55,0,3.28,2.19,0,0,1.09,0,10.39,0.55,0,0.55,1.64,1.09,0,0,1.09
