stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,4.02,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0.32,29.44,0.64,0.32,0.96,0.32,0.64,2.56,1.92,1.28,1.28,41.59,1.28,0.32,0,0.32,1.28,0.32,0.32,0.32,0.64
22Month,0,12.03,0,0,2.19,0,0.55,1.09,0,1.09,0.55,24.6,0,0,0.55,0,0,0,0,0,0
