stage,Cardiomyocyte,Erythrocyte__Liver_,Intestinal_bulb_cell,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell
21Day,1.34,0,0,1.34,0,1.34,2.68
3Month,0,0.32,0.96,0,0.32,0,0.64
