stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0.64,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,2.73,7.65,0.55,1.09,0.55,4.37,16.4,0.55,18.59,0,1.09,4.37,10.39,2.73,1.64,0,2.73,0.55,1.64,0.55,2.19,1.09
