stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,8.17,0,4.09,0,0,0,4.09,40.86,0,4.09,0,4.09,0,159.37,0
72hpf,0,0,10.7,1.07,1.07,0,3.21,21.4,1.07,3.21,3.21,0,18.19,46,1.07
21Day,0,0,9.37,0,1.34,0,0,4.02,1.34,4.02,0,0,0,4.02,1.34
22Month,0,0.55,0.55,0,0,1.64,0,0,0,0,0,0,0,0,0
