stage,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Radial_glia,T_cell
21Day,0,0,0,1.34,0,0,0,1.34,1.34,0,6.69
3Month,0.32,0,0.64,0.32,0.64,0.64,0,0.32,0.32,0.32,5.12
22Month,0,0.55,6.56,1.09,0,1.09,1.64,0.55,0,0,12.03
