stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,159.4,3.21,5.35,0,0,0,0,0,0,22.47,102.7,0,7.49,0,0,53.49,20.33,1.07,0,4.28,0,0,6.42,1.07,0,0
21Day,1.34,0,0,32.12,5.35,1.34,0,0,0,0,0,0,0,6.69,0,6.69,0,0,2.68,8.03,1.34,0,0,1.34,0,0,0,0,0
3Month,0,0,0,20.48,0,0,0.32,0.64,4.48,0.32,0.32,1.28,1.6,0.96,0.32,1.6,0,0.32,0,0,0,0,0,0,2.56,0,0,0.64,0.32
22Month,0,0.55,0.55,24.05,0,0,0.55,1.64,9.84,1.09,0.55,2.73,0,0,2.73,1.64,0.55,0,0,0,8.2,0.55,0,0,2.73,0,0,0,0.55
